naamStudent,vak,type,zaal,dag,tijdslot
Devlin Bronsema,Informatie- en organisatieontwerp,practicum1,A1.06,dinsdag,09.00–11.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum1,A1.10,woensdag,13.00–15.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum2,A1.10,woensdag,13.00–15.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum3,A1.10,woensdag,13.00–15.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum4,A1.04,maandag,17.00–19.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum5,A1.04,maandag,17.00–19.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum6,A1.10,dinsdag,13.00–15.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum7,A1.10,woensdag,13.00–15.00 uur
Devlin Bronsema,Programmeren in Java 2,practicum8,A1.04,maandag,17.00–19.00 uur
Devlin Bronsema,Databases 2,hoorcollege1,C0.110,donderdag,11.00–13.00 uur
Devlin Bronsema,Databases 2,werkcollege1,C1.112,donderdag,13.00–15.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,hoorcollege1,B0.201,dinsdag,09.00–11.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,werkcollege1,A1.04,dinsdag,11.00–13.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,werkcollege2,A1.06,dinsdag,13.00–15.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,practicum2,C0.110,dinsdag,11.00–13.00 uur
Deejay van der Geer,Data Mining,werkcollege1,C1.112,woensdag,17.00–19.00 uur
Deejay van der Geer,Autonomous Agents 2,practicum1,A1.06,maandag,09.00–11.00 uur
Deejay van der Geer,Algoritmen en complexiteit,practicum1,A1.10,donderdag,13.00–15.00 uur
Deejay van der Geer,Algoritmen en complexiteit,werkcollege1,C0.110,donderdag,09.00–11.00 uur
Deejay van der Geer,Algoritmen en complexiteit,practicum2,A1.10,donderdag,13.00–15.00 uur
Deejay van der Geer,Data Mining,practicum1,A1.04,donderdag,13.00–15.00 uur
Deejay van der Geer,Autonomous Agents 2,practicum2,A1.08,donderdag,15.00–17.00 uur
Deejay van der Geer,Data Mining,practicum2,A1.06,donderdag,15.00–17.00 uur
Deejay van der Geer,Autonomous Agents 2,practicum3,A1.04,vrijdag,15.00–17.00 uur
Deejay van der Geer,Algoritmen en complexiteit,werkcollege2,B0.201,donderdag,11.00–13.00 uur
Deejay van der Geer,Databases 2,werkcollege1,B0.201,maandag,15.00–17.00 uur
Deejay van der Geer,Algoritmen en complexiteit,practicum3,A1.10,donderdag,13.00–15.00 uur
Deejay van der Geer,Heuristieken 2,hoorcollege1,A1.10,woensdag,09.00–11.00 uur
Deejay van der Geer,Data Mining,werkcollege2,B0.201,maandag,15.00–17.00 uur
Deejay van der Geer,Data Mining,practicum3,A1.04,donderdag,13.00–15.00 uur
Deejay van der Geer,Autonomous Agents 2,hoorcollege1,C1.112,vrijdag,11.00–13.00 uur
Deejay van der Geer,Autonomous Agents 2,werkcollege1,B0.201,vrijdag,15.00–17.00 uur
Deejay van der Geer,Autonomous Agents 2,practicum4,C0.110,maandag,13.00–15.00 uur
Deejay van der Geer,Databases 2,hoorcollege1,C0.110,donderdag,11.00–13.00 uur
Deejay van der Geer,Databases 2,werkcollege2,C1.112,donderdag,13.00–15.00 uur
Deejay van der Geer,Algoritmen en complexiteit,hoorcollege1,B0.201,woensdag,15.00–17.00 uur
Deejay van der Geer,Algoritmen en complexiteit,practicum4,C1.112,donderdag,11.00–13.00 uur
Deejay van der Geer,Heuristieken 2,werkcollege1,B0.201,woensdag,11.00–13.00 uur
Deejay van der Geer,Data Mining,hoorcollege1,A1.04,woensdag,17.00–19.00 uur
Deejay van der Geer,Data Mining,werkcollege3,A1.10,dinsdag,13.00–15.00 uur
Deejay van der Geer,Data Mining,werkcollege4,A1.10,dinsdag,13.00–15.00 uur
Deejay van der Geer,Autonomous Agents 2,werkcollege2,A1.10,vrijdag,13.00–15.00 uur
Deejay van der Geer,Autonomous Agents 2,werkcollege3,A1.04,vrijdag,17.00–19.00 uur
Deejay van der Geer,Autonomous Agents 2,practicum5,A1.08,donderdag,15.00–17.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege1,C1.112,maandag,17.00–19.00 uur
Wafa Bart,Collectieve Intelligentie,practicum1,A1.06,dinsdag,15.00–17.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege2,B0.201,dinsdag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,practicum2,A1.06,dinsdag,17.00–19.00 uur
Wafa Bart,Collectieve Intelligentie,hoorcollege1,C0.110,maandag,15.00–17.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege3,A1.10,woensdag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege4,A1.10,woensdag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,practicum3,A1.04,dinsdag,13.00–15.00 uur
