naamStudent,vak,type,zaal,dag,tijdslot
Devlin Bronsema,Informatie- en organisatieontwerp,hoorcollege1,C1.112,donderdag,13.00–15.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,hoorcollege2,A1.10,donderdag,15.00–17.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,werkcollege1,B0.201,donderdag,17.00–19.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,werkcollege2,A1.04,vrijdag,09.00–11.00 uur
Devlin Bronsema,Informatie- en organisatieontwerp,practicum1,A1.06,vrijdag,09.00–11.00 uur
Deejay van der Geer,Data Mining,hoorcollege1,C1.112,woensdag,11.00–13.00 uur
Deejay van der Geer,Data Mining,hoorcollege2,A1.10,woensdag,13.00–15.00 uur
Deejay van der Geer,Data Mining,werkcollege1,B0.201,woensdag,15.00–17.00 uur
Deejay van der Geer,Data Mining,werkcollege2,A1.04,dinsdag,11.00–13.00 uur
Deejay van der Geer,Data Mining,werkcollege3,A1.06,woensdag,17.00–19.00 uur
Deejay van der Geer,Data Mining,practicum1,A1.08,donderdag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,hoorcollege1,C0.110,maandag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,hoorcollege2,C0.110,maandag,11.00–13.00 uur
Wafa Bart,Collectieve Intelligentie,hoorcollege3,C0.110,maandag,13.00–15.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege1,C1.112,maandag,15.00–17.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege2,A1.10,maandag,17.00–19.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege3,B0.201,donderdag,15.00–17.00 uur
Wafa Bart,Collectieve Intelligentie,werkcollege4,A1.04,woensdag,13.00–15.00 uur
Wafa Bart,Collectieve Intelligentie,practicum1,A1.06,dinsdag,13.00–15.00 uur
Wafa Bart,Collectieve Intelligentie,practicum2,A1.08,dinsdag,15.00–17.00 uur
